SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
1,200000000000000.0,0,1,1,990,강원소방본부,강릉소방서,유천119안전센터,,20200101,125600,20200101,125616,128.8408,37.7603,20200101,125644,20200101,010342,20200101,131943,20200101,103343,20200101,022043,000658,003001,4,4,0,강원도,강릉시,성산면,위촌리,638,위촌길274-15,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,기상(건조/강풍등),67,38,19,2,2,0,2,4,19,맑음,6,34,225,,건조주의보
2,200000000000000.0,0,0,0,0,강원소방본부,춘천소방서,신북119안전센터,,20200103,122200,20200103,122230,127.642,37.9794,20200103,122307,20200103,123748,20200103,142000,20200103,030500,20200103,035500,001441,022712,16,15,0,강원도,춘천시,서면,오월리,,납실길107-64,임야,산불,국유림,임야,산아래,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,77,26,0,8,23,0,0,20,0,맑음,1,51,180,4.0,
3,200000000000000.0,0,1,1,0,강원소방본부,춘천소방서,신북119안전센터,,20200104,015400,20200104,015416,127.7354,37.9666,20200104,015503,20200104,021413,20200104,172530,20200104,052530,20200104,052530,001910,031117,0,0,0,강원도,춘천시,신북읍,발산리,,,임야,산불,사유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,0,0,0,0,0,0,0,0,0,맑음,5,41,225,4.0,풍랑주의보
4,200000000000000.0,0,0,0,0,강원소방본부,정선소방서,신동119안전센터,,20200104,024900,20200104,024933,128.5828,37.255,20200104,025033,20200104,031319,20200104,152040,20200104,034040,20200104,054540,002246,002721,40,14,0,강원도,정선군,신동읍,덕천리,139,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,쓰레기/논밭두렁,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,77,20,30,2,10,0,15,0,12,맑음,5,43,225,4.0,풍랑주의보
5,200000000000000.0,0,0,0,0,강원소방본부,양양소방서,양양119안전센터,,20200115,014600,20200115,014628,128.6259,38.0578,20200115,014709,20200115,015128,20200115,140719,20200115,021019,20200115,035419,000419,001851,2,2,0,강원도,양양군,양양읍,월리,530-3,고노동길117,임야,산불,국유림,임야,산아래,기타,불꽃/불티,굴뚝아궁이,기계적요인,기계적요인,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,,155,26,21,15,65,0,28,0,25,맑음,5,23,315,8.0,
6,200000000000000.0,0,0,0,0,강원소방본부,강릉소방서,포남119안전센터,,20200122,075700,20200122,075726,128.9216,37.7551,20200122,075915,20200122,080226,20200122,201658,20200122,081758,20200122,093058,000311,001532,7,4,0,강원도,강릉시,학동,,산55,,임야,산불,사유림,임야,산아래,쓰레기소각장,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이/목재/건초등,,,,46,27,0,2,2,0,15,0,13,맑음,6,48,225,8.0,
7,200000000000000.0,0,0,0,99,강원소방본부,횡성소방서,둔내119안전센터,,20200123,125200,20200123,125206,128.1536,37.4717,20200123,125332,20200123,125624,20200123,133843,20200123,013942,20200123,032739,000252,004318,22,7,0,강원도,횡성군,우천면,하궁리,154,,임야,산불,사유림,임야,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등)/화재인지/신고지연,100,28,28,4,25,0,0,15,10,맑음,9,40,180,4.0,
8,200000000000000.0,0,0,0,0,강원소방본부,화천소방서,화천119안전센터,,20200129,122100,20200129,122126,127.6497,38.1108,20200129,122329,20200129,124412,20200129,155000,20200129,043000,20200129,045932,002043,034548,14,14,0,강원도,화천군,하남면,계성리,410,,임야,산불,공유림,임야,산중턱,군경사격장,폭발물/폭죽,폭탄/탄약,부주의,불씨/불꽃/화원방치,종이/목재/건초등,건초,종이/목재/건초등,나무,기상(건조/강풍등)/현장도착지연(교통혼잡),22,12,0,3,6,1,0,0,10,맑음,8,53,315,4.0,
9,200000000000000.0,0,0,0,0,강원소방본부,홍천소방서,서석119안전센터,,20200131,121800,20200131,121807,128.2007,37.7012,20200131,015414,20200131,022833,20200131,143010,20200131,034110,20200131,035310,003419,011237,36,2,0,강원도,홍천군,서석면,풍암리,28,아미산길210,임야,산불,공유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,기타,79,14,26,4,25,0,0,10,7,맑음,8,41,225,4.0,
10,200000000000000.0,0,1,1,0,강원소방본부,춘천소방서,강촌119안전센터,,20200208,070500,20200208,070500,127.5658,37.8072,20200208,070726,20200208,073145,20200208,075400,20200208,081000,20200208,101515,002419,003815,33,29,0,강원도,춘천시,남산면,백양리,144-42,서백길303-49,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,72,18,0,4,10,0,0,40,8,맑음,-4,72,315,4.0,풍랑주의보
