SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
11,210000000000000.0,0,0,0,0,강원소방본부,화천소방서,사내119안전센터,,20210217,164000,20210217,164000,,,20210217,164600,20210217,165100,20210217,182300,20210217,075300,20210218,084000,000500,150200,38,7,0,강원도,화천군,사내면,명월리,1043,,임야,산불,국유림,국유림,산중턱,군경사격장,폭발물/폭죽,폭탄/탄약,화학적요인,자연발화,종이/목재/건초등,건초,종이/목재/건초등,건초,기상(건조/강풍등),144,18,32,4,10,50,30,0,19,맑음,-8,34,0,4.0,
12,210000000000000.0,0,0,0,49636,강원소방본부,양양소방서,양양119안전센터,,20210218,221429,20210219,221400,,,20210218,221521,20210218,222400,20210218,011757,20210218,041540,20210219,043232,000839,055140,7,7,0,강원도,양양군,양양읍,사천리,,사천길67,임야,산불,사유림,사유림,산아래,논/밭두렁,불꽃/불티,불꽃/불티,부주의,부주의,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,나무,가연성물질의급격한연소/기상(건조/강풍등)/화재인지/신고지연,1028,172,238,43,300,0,182,93,676,맑음,-1,32,225,8.0,건조경보
13,210000000000000.0,0,0,0,0,강원소방본부,화천소방서,화천119안전센터,,20210220,131300,20210220,131300,,,20210220,131400,20210220,133600,20210220,151521,20210220,190000,20210220,190000,002200,052400,22,17,20,강원도,화천군,상서면,다목리,140-1,,임야,산불,국유림,국유림,산중턱,미상,미상,미상,미상,미상,미상,미상,종이/목재/건초등,나무,기상(건조/강풍등),241,14,8,4,20,150,45,0,18,맑음,13,55,270,4.0,
14,210000000000000.0,0,0,0,4857,강원소방본부,정선소방서,임계119안전센터,여량면119지역대,20210220,155005,20210221,155000,,,20210220,155038,20210220,160708,20210220,094036,20210220,094036,20210221,223036,001630,173328,28,27,11,강원도,정선군,여량면,구절리,202,중동길159,임야,산불,국유림,국유림,산아래,기타,불꽃/불티,불꽃/불티,부주의,불씨/불꽃/화원방치,기타,기타,기타,기타,기타/가연성물질의급격한연소/기상(건조/강풍등),421,48,42,15,60,0,238,18,53,맑음,11,30,45,4.0,
15,210000000000000.0,0,0,0,0,강원소방본부,화천소방서,화천119안전센터,,20210222,141118,20210222,141100,,,20210222,141146,20210222,141844,20210222,144400,20210222,150600,20210222,153444,000658,004716,21,21,5,강원도,화천군,간동면,간척리,,,임야,산불,사유림,사유림,산아래,미상,미상,미상,미상,미상,기타,기타,,,,81,18,17,6,10,0,30,0,14,맑음,13,39,270,4.0,건조주의보
16,210000000000000.0,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,북방119지역대,20210226,133351,20210226,133300,,,20210226,133751,20210226,140558,20210226,143015,20210226,180000,20210226,180515,002807,035402,20,0,15,강원도,홍천군,북방면,전치곡리,,,임야,산불,사유림,사유림,산정상,미상,미상,미상,미상,미상,미상,미상,,,,106,25,15,6,20,0,30,10,10,맑음,10,35,90,4.0,
17,210000000000000.0,0,1,1,6751,강원소방본부,영월소방서,중동119안전센터,김삿갓119지역대,20210311,144653,20210311,144600,,,20210311,144705,20210311,145800,20210311,171209,20210311,075631,20210312,090747,001055,165831,15,19,5,강원도,영월군,김삿갓면,대야리,142,,임야,산불,사유림,사유림,산아래,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,종이/목재/건초등,종이/목재/건초등,종이/목재/건초등,가연성물질의급격한연소/기상(건조/강풍등),164,26,28,25,27,0,58,0,21,맑음,17,17,225,4.0,
18,210000000000000.0,0,0,0,0,강원소방본부,영월소방서,중동119안전센터,김삿갓119지역대,20210312,191136,20210312,191100,,,20210312,191224,20210312,192840,20210312,223916,20210312,223916,20210312,223916,001616,031036,18,24,8,강원도,영월군,김삿갓면,대야리,138-3,,임야,산불,사유림,사유림,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,33,14,2,2,0,0,15,0,8,비,7,62,90,4.0,
19,210000000000000.0,0,0,0,9900,강원소방본부,홍천소방서,홍천119안전센터,화촌119지역대,20210323,155214,20210323,155200,,,20210323,155541,20210323,155717,20210323,194808,20210323,004000,20210324,110000,000136,084243,13,13,0,강원도,홍천군,화촌면,성산리,18,성산로210-13,임야,산불,사유림,사유림,산중턱,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,종이/목재/건초등,나무,기상(건조/강풍등),310,50,51,14,60,0,0,135,33,맑음,16,25,315,8.0,
20,210000000000000.0,0,0,0,0,강원소방본부,삼척소방서,원덕119안전센터,가곡119지역대,20210330,141109,20210330,141100,,,20210330,141138,20210330,141740,20210330,155300,20210330,190000,20210330,190000,000602,044220,55,18,1,강원도,삼척시,가곡면,탕곡리,23,,임야,산불,사유림,사유림,산중턱,입산자실화,불꽃/불티,불꽃/불티,부주의,부주의,종이/목재/건초등,풀/나뭇잎,,,기타,197,47,30,10,0,0,110,0,22,맑음,16,26,90,8.0,
21,210000000000000.0,0,0,0,67716,강원소방본부,정선소방서,신동119안전센터,,20210331,153510,20210331,153500,,,20210331,153545,20210331,155545,20210331,182010,20210331,124630,20210401,142046,002000,205045,32,15,0,강원도,정선군,신동읍,운치리,757,운치길293-22,임야,산불,사유림,사유림,산아래,논/밭두렁,불꽃/불티,불꽃/불티,부주의,기기사용설치부주의,종이/목재/건초등,종이/목재/건초등,종이/목재/건초등,종이/목재/건초등,기타/가연성물질의급격한연소,302,33,39,19,34,0,177,0,186,맑음,21,8,225,4.0,건조주의보
22,210000000000000.0,0,0,0,0,강원소방본부,양구소방서,양구119안전센터,동면119지역대,20210331,165648,20210401,155600,,,20210331,170003,20210331,171605,20210331,081000,20210331,110000,20210401,110000,001602,174355,12,12,10,강원도,양구군,양구읍,도사리,1,,임야,산불,국유림,국유림,미상,미상,미상,미상,미상,미상,미상,미상,기타,기타,,98,10,21,0,0,0,67,0,15,맑음,20,13,315,4.0,
23,210000000000000.0,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20210417,093354,20210417,093300,,,20210417,093417,20210417,094541,20210417,100353,20210417,101440,20210417,103146,001124,002859,9,9,5,강원도,홍천군,동면,월운리,120,,임야,산불,사유림,사유림,산아래,미상,미상,미상,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),54,14,2,5,0,0,33,0,12,맑음,9,62,225,4.0,
24,210000000000000.0,0,0,0,0,강원소방본부,평창소방서,진부119안전센터,,20210417,120442,20210417,120400,,,20210417,120517,20210417,122702,20210417,124521,20210417,133150,20210417,134222,002145,010448,42,16,0,강원도,평창군,진부면,봉산리,,,임야,산불,공유림,공유림,산정상,미상,미상,미상,미상,미상,기타,기타,,,,53,11,0,3,18,0,21,0,7,맑음,13,29,180,,
25,210000000000000.0,0,0,0,0,강원소방본부,정선소방서,조양119안전센터,,20210418,130059,20210418,130000,,,20210418,130140,20210418,131847,20210418,143448,20210418,143448,20210418,143448,001707,011601,16,16,23,강원도,정선군,정선읍,회동리,323-1,청량길24,임야,산불,국유림,국유림,평지,기타,불꽃/불티,불꽃/불티,부주의,불씨/불꽃/화원방치,종이/목재/건초등,종이/목재/건초등,,,,31,25,0,2,0,0,4,0,12,맑음,12,30,90,4.0,
26,210000000000000.0,0,0,0,0,강원소방본부,횡성소방서,공근119안전센터,,20210419,164554,20210419,164500,,,20210419,164707,20210419,171242,20210419,190000,20210419,203009,20210419,203249,002535,031727,11,6,0,강원도,횡성군,공근면,초원리,32,,임야,산불,국유림,국유림,산중턱,담뱃불,담뱃불/라이터불,담뱃불/라이터불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,151,33,0,0,0,0,118,0,17,맑음,19,30,135,4.0,
27,210000000000000.0,0,1,1,0,강원소방본부,홍천소방서,양덕원119안전센터,,20210420,152205,20210420,152200,,,20210420,152311,20210420,154727,20210420,163433,20210420,165209,20210420,190000,002416,010442,17,12,0,강원도,홍천군,남면,명동리,32,,임야,산불,사유림,사유림,산아래,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소/기상(건조/강풍등),64,19,10,10,0,0,25,0,21,맑음,25,22,315,4.0,
28,210000000000000.0,0,0,0,3850,강원소방본부,평창소방서,대관령119안전센터,,20210421,122045,20210421,122000,,,20210421,122234,20210421,123246,20210421,135931,20210421,145124,20210421,145618,001012,021838,56,7,0,강원도,평창군,대관령면,유천리,111-1,경강로4605-23,임야,산불,사유림,사유림,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,177,20,33,12,30,0,53,29,22,맑음,23,29,315,4.0,
29,210000000000000.0,0,0,0,0,강원소방본부,양구소방서,양구119안전센터,,20210421,130850,20210421,130800,,,20210421,131010,20210421,133504,20210421,133925,20210421,135512,20210421,144554,002454,002008,30,30,13,강원도,양구군,동면,비아리,131,,임야,산불,국유림,국유림,산아래,기타,폭발물/폭죽,폭탄/탄약,화학적요인,자연발화,종이/목재/건초등,풀/나뭇잎,,,,52,7,0,2,0,40,3,0,5,맑음,25,17,315,4.0,
30,210000000000000.0,0,0,0,0,강원소방본부,화천소방서,화천119안전센터,,20210421,163157,20210421,163100,,,20210421,163313,20210421,163919,20210421,164157,20210421,164406,20210421,170442,000606,000447,5,5,0,강원도,화천군,화천읍,풍산리,1378-1,,임야,산불,사유림,사유림,평지,미상,미상,미상,미상,미상,종이/목재/건초등,목재/합판,,,,28,20,0,3,0,0,5,0,10,맑음,27,9,135,4.0,
31,210000000000000.0,0,0,0,2959,강원소방본부,철원소방서,동송119안전센터,,20210422,132707,20210422,132700,,,20210422,132825,20210422,133723,20210422,135918,20210422,141618,20210422,151018,000858,003855,13,7,0,강원도,철원군,동송읍,대위리,32,,임야,산불,사유림,사유림,산중턱,성묘객,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,쓰레기류,쓰레기,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),52,24,0,4,4,0,0,20,16,맑음,25,31,90,4.0,
32,210000000000000.0,0,0,0,0,강원소방본부,원주소방서,신림119안전센터,,20210425,143201,20210425,143200,,,20210425,143516,20210425,151325,20210425,160845,20210425,174224,20210425,180524,003809,022859,24,7,0,강원도,원주시,신림면,성남리,160,,임야,산불,공유림,공유림,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등)/원거리소방서,126,20,16,2,11,0,77,0,30,맑음,20,31,225,4.0,
33,210000000000000.0,0,0,0,0,강원소방본부,원주소방서,단구119안전센터,,20210426,172913,20210426,172900,,,20210426,172958,20210426,173748,20210426,175312,20210426,175312,20210426,182137,000750,001524,4,3,0,강원도,원주시,단구동,,896,,임야,산불,사유림,사유림,산아래,입산자실화,담뱃불/라이터불,담뱃불/라이터불,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,67,25,0,4,8,0,30,0,12,맑음,20,23,315,4.0,
34,210000000000000.0,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20210427,131308,20210427,131300,,,20210427,131636,20210427,133629,20210427,140429,20210427,142229,20210427,144929,001953,004600,19,19,0,강원도,인제군,인제읍,가아리,1,,임야,산불,사유림,사유림,산중턱,기타,담뱃불/라이터불,담뱃불/라이터불,부주의,부주의,종이/목재/건초등,종이/목재/건초등,,,,126,20,20,5,17,0,64,0,11,맑음,17,366,225,4.0,
35,210000000000000.0,0,0,0,0,강원소방본부,삼척소방서,원덕119안전센터,,20210429,210750,20210429,210700,,,20210429,210937,20210429,212034,20210429,231103,20210429,010542,20210430,010542,001057,034508,61,24,6,강원도,삼척시,가곡면,풍곡리,571,가곡천로905-8,임야,산불,국유림,국유림,산정상,기타,기타,기타,자연적인요인,자연적재해,종이/목재/건초등,풀/나뭇잎,,,,103,28,21,0,0,0,52,2,21,맑음,6,95,270,4.0,
36,211000000000000.0,0,0,0,0,강원소방본부,인제소방서,원통119안전센터,서화119지역대,20210506,173053,20210506,173000,,,20210506,173202,20210506,174500,20210506,181000,20210506,182332,20210506,193904,001258,003832,27,20,6,강원도,인제군,서화면,심적리,742-2,,임야,산불,국유림,국유림,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,81,16,17,7,0,0,41,0,15,맑음,18,36,225,12.0,
37,211000000000000.0,0,0,0,0,강원소방본부,삼척소방서,원덕119안전센터,임원119지역대,20210506,210640,20210506,210600,,,20210506,210915,20210506,212245,20210506,223934,20210506,223934,20210506,235312,001330,011649,26,22,7,강원도,삼척시,원덕읍,갈남리,197-3,삼척로1852-6,임야,산불,국유림,국유림,산아래,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,110,30,0,0,0,10,70,0,22,맑음,15,54,225,4.0,
38,211000000000000.0,0,0,0,101,강원소방본부,삼척소방서,도계119안전센터,,20210507,110548,20210507,110500,,,20210507,110834,20210507,112040,20210507,124020,20210507,133020,20210507,144420,001206,020940,39,7,0,강원도,삼척시,도계읍,황조리,160,황조길61,임야,산불,사유림,사유림,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,,,,248,50,10,12,50,0,126,0,31,맑음,17,46,225,18.0,풍랑주의보
39,211000000000000.0,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,안흥지역대,20210508,121220,20210508,121200,,,20210508,121312,20210508,122927,20210508,135333,20210508,135433,20210508,182202,001615,012506,37,24,15,강원도,횡성군,안흥면,상안리,,서동로상안2길26-25,임야,산불,국유림,국유림,산정상,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,95,16,18,2,9,0,0,50,15,맑음,14,59,225,4.0,풍랑주의보
40,211000000000000.0,0,0,0,0,강원소방본부,홍천소방서,양덕원119안전센터,,20210509,131611,20210509,131600,,,20210509,131719,20210509,132624,20210509,135054,20210509,135339,20210509,142934,000905,002715,21,7,0,강원도,홍천군,남면,시동리,901,시동안로226-7,임야,산불,사유림,사유림,산아래,기타,담뱃불/라이터불,담뱃불/라이터불,부주의,불장난,종이/목재/건초등,풀/나뭇잎,,,,81,20,15,5,15,0,0,26,14,맑음,21,24,315,4.0,
41,211000000000000.0,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20210509,134301,20210509,134300,,,20210509,134415,20210509,135216,20210509,141148,20210509,142131,20210509,151302,000801,002915,16,7,0,강원도,철원군,철원읍,율이리,93,,임야,산불,사유림,사유림,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,60,15,0,6,2,0,37,0,12,맑음,19,26,315,8.0,
42,211000000000000.0,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20210509,174449,20210509,174400,,,20210509,174536,20210509,174923,20210509,183358,20210509,183452,20210509,192843,000347,004529,12,1,0,강원도,철원군,철원읍,화지리,21,,임야,산불,사유림,사유림,산정상,입산자실화,담뱃불/라이터불,라이터불/성냥불,부주의,불장난,종이/목재/건초등,풀/나뭇잎,,,,67,19,0,6,5,0,37,0,13,맑음,18,22,270,8.0,
43,211000000000000.0,0,0,0,0,강원소방본부,태백소방서,화전119안전센터,,20210513,153705,20210513,153700,,,20210513,153756,20210513,155917,20210513,182000,20210513,203416,20210513,222500,002121,043459,20,17,0,강원도,태백시,하사미동,,,,임야,산불,사유림,사유림,산중턱,기타,작동기기,불꽃/스파크/정전기,기계적요인,과열/과부하,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,나무,가연성물질의급격한연소,144,22,0,6,32,11,12,61,18,맑음,23,43,45,4.0,
44,211000000000000.0,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,안흥지역대,20210514,115006,20210514,115000,,,20210514,115034,20210514,120242,20210514,131125,20210514,135508,20210514,161424,001208,015226,26,14,5,강원도,횡성군,안흥면,상안리,35,서동로상안2길133,임야,산불,사유림,사유림,산아래,건물,작동기기,전기적아크,전기적요인,절연열화에의한단락,종이/목재/건초등,풀/나뭇잎,,,,131,23,23,5,31,0,10,39,18,맑음,24,58,0,4.0,
45,211000000000000.0,0,0,0,223,강원소방본부,강릉소방서,주문진119안전센터,,20210607,151139,20210607,151100,,,20210607,151226,20210607,152610,20210607,153855,20210607,165149,20210607,165149,001344,012539,21,6,0,강원도,강릉시,주문진읍,향호리,126,,임야,산불,사유림,사유림,산중턱,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,목재/합판,,,,50,10,10,7,0,0,23,0,11,맑음,25,62,225,4.0,
46,211000000000000.0,0,0,0,0,강원소방본부,홍천소방서,서석119안전센터,내촌119지역대,20210608,145246,20210608,145200,,,20210608,145414,20210608,150349,20210608,153200,20210608,162904,20210608,165641,000935,012515,26,0,5,강원도,홍천군,내촌면,화상대리,산9-2,,임야,산불,사유림,사유림,산정상,기타,자연적발화열,낙뢰,자연적인요인,자연적재해,종이/목재/건초등,나무,,,,48,10,12,3,13,0,0,10,6,맑음,18,78,45,4.0,
