SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
1,210000000000000.0,0,0,0,330,강원소방본부,강릉소방서,주문진119안전센터,,20210105,120939,20210105,120900,,,20210105,121151,20210105,122240,20210105,123757,20210105,125555,20210105,132616,001049,003315,22,10,0,강원도,강릉시,연곡면,퇴곡리,,황어대길100,임야,산불,사유림,사유림,산아래,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,종이/목재/건초등,가연성물질의급격한연소/원거리소방서,83,46,20,4,10,0,3,0,26,맑음,1,16,315,4.0,풍랑주의보
2,210000000000000.0,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20210112,114416,20210112,114400,,,20210112,114720,20210112,122313,20210112,130000,20210112,151053,20210112,151053,003553,024740,27,27,23,강원도,홍천군,동면,좌운리,산244-28,,임야,산불,공유림,공유림,산정상,입산자실화,미상,미상,미상,미상,미상,미상,,,,48,4,9,5,0,0,5,25,3,맑음,-7,59,270,4.0,
3,210000000000000.0,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20210115,153938,20210116,153900,,,20210115,154538,20210115,155709,20210115,084000,20210115,113000,20210116,113700,001131,193251,11,11,0,강원도,인제군,인제읍,덕적리,산1,,임야,산불,국유림,국유림,산정상,기타,자연적발화열,낙뢰,자연적인요인,자연적인요인,종이/목재/건초등,풀/나뭇잎,,,,54,16,0,9,0,0,29,0,10,비,-2,69,315,12.0,
4,210000000000000.0,0,0,0,0,강원소방본부,동해소방서,천곡119안전센터,,20210117,153649,20210117,153600,,,20210117,153807,20210117,154824,20210117,164748,20210117,180059,20210117,182417,001017,021235,8,8,0,강원도,동해시,부곡동,,159,,임야,산불,사유림,사유림,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,275,80,38,14,98,0,0,45,24,맑음,0,17,315,4.0,
5,210000000000000.0,0,0,0,0,강원소방본부,횡성소방서,공근119안전센터,,20210120,144657,20210120,144600,,,20210120,144852,20210120,150809,20210120,155249,20210120,170837,20210120,172936,001917,020028,14,10,0,강원도,횡성군,공근면,공근리,17,,임야,산불,사유림,사유림,산중턱,입산자실화,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,92,16,22,2,0,0,52,0,9,맑음,6,31,225,4.0,
6,210000000000000.0,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,,20210124,174756,20210124,174700,,,20210124,174857,20210124,175912,20210124,212607,20210124,212607,20210124,212607,001015,032655,9,9,0,강원도,홍천군,홍천읍,하오안리,137,,임야,산불,사유림,사유림,산아래,기타,기타,기타,전기적요인,절연열화에의한단락,기타,기타,,,,17,10,0,7,0,0,0,0,3,맑음,7,62,180,4.0,
7,210000000000000.0,0,0,0,0,강원소방본부,정선소방서,조양119안전센터,북평119지역대,20210205,141927,20210205,141900,,,20210205,142035,20210205,142909,20210205,162408,20210205,191113,20210205,193238,000834,044204,15,15,4,강원도,정선군,북평면,장열리,74,,임야,산불,국유림,국유림,산아래,기타,불꽃/불티,용접/절단/연마,부주의,용접/절단/연마,종이/목재/건초등,풀/나뭇잎,,,,140,30,21,8,16,0,65,0,30,맑음,4,47,225,8.0,강풍주의보
8,210000000000000.0,0,0,0,0,강원소방본부,삼척소방서,도계119안전센터,신기119지역대,20210209,131622,20210209,131600,,,20210209,131657,20210209,133335,20210209,161800,20210209,180000,20210209,210637,001638,042625,20,11,0,강원도,삼척시,신기면,서하리,131,,임야,산불,사유림,사유림,평지,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,나무,가연성물질의급격한연소/기상(건조/강풍등)/화재인지/신고지연,369,61,47,24,103,0,103,31,43,맑음,6,27,315,4.0,건조주의보
9,210000000000000.0,0,0,0,264,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20210210,141257,20210210,141200,,,20210210,141344,20210210,143140,20210210,145025,20210210,155015,20210210,161325,001756,011835,23,23,19,강원도,홍천군,동면,좌운리,80,,임야,산불,사유림,사유림,산정상,입산자실화,불꽃/불티,불꽃/불티,부주의,불씨/불꽃/화원방치,기타,기타,,,,41,6,0,0,0,0,0,35,3,맑음,6,70,135,4.0,
10,210000000000000.0,0,0,0,0,강원소방본부,강릉소방서,옥계119안전센터,,20210216,142624,20210216,142600,,,20210216,142906,20210216,144523,20210216,164452,20210216,173408,20210216,210512,001617,024845,28,1,0,강원도,강릉시,옥계면,현내리,107,,임야,산불,사유림,사유림,산정상,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,209,73,60,5,0,0,71,0,32,맑음,0,30,315,8.0,
