"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속일자",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속일자","	"
"		216",태백,Mar.22,1.5,7.6,230,2022.3.26,15.5,270,2022.3.1,
"		216",태백,Apr.22,1.6,6.2,70,2022.4.15,12.6,250,2022.4.22,
"		216",태백,May.22,1.5,5.7,230,2022.5.18,12.2,230,2022.5.19,
"		216",태백,Jun.22,1.8,7.8,230,2022.6.28,17.5,250,2022.6.28,
"		216",태백,Jul.22,1.1,4.7,70,2022.7.29,9.3,200,2022.7.7,
"		216",태백,Aug.22,1.3,6.5,230,2022.8.15,13.5,200,2022.8.1,
"		216",태백,Sep.22,1.3,7.9,360,2022.9.19,16.5,340,2022.9.19,
"		216",태백,Oct.22,1.1,6.6,250,2022.10.4,14.6,250,2022.10.10,
"		216",태백,Nov.22,1,6.8,230,2022.11.28,14.2,250,2022.11.26,
"		216",태백,Dec.22,1.4,6.5,230,2022.12.12,14,320,2022.12.23,
"		216",태백,Jan.23,1.2,5.5,340,2023.1.17,12,360,2023.1.20,
"		216",태백,Feb.23,1.2,6.2,70,2023.2.25,11.3,250,2023.2.1,
"		216",태백,Mar.23,1.3,6.7,230,2023.3.15,14.7,230,2023.3.15,
"		216",태백,Apr.23,1.6,9.1,230,2023.4.11,17.8,230,2023.4.11,
"		216",태백,May.23,1.4,6.2,360,2023.5.23,13.2,340,2023.5.6,
"		216",태백,Jun.23,,5.5,70,2023.6.2,10.5,290,2023.6.4,
"		",,,,,,,,,,
"		",,,,,,,,,,
"	",,,,,,,,,,
"	",,,,,,,,,,
