,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2842,0.07,08,05,17:00:00,2020,건축물화재비화,산58-1외2필,마곡,홍천,서,강원,08,금요일,05,15:00:00,2020
2843,0.03,08,05,16:30:00,2020,입산자실화,산63-1,상오안,홍천,홍천,강원,08,금요일,05,14:50:00,2020
2844,0.1,08,05,14:30:00,2020,담뱃불실화,산437,서포,옹진,덕적,인천,08,금요일,05,11:20:00,2020
2845,0.1,08,05,11:30:00,2020,담뱃불실화,산40,가율,안성,보개,경기,08,금요일,05,10:22:00,2020
2846,0.01,08,05,10:30:00,2020,입산자실화,산1-1,정릉,성북,서울,08,금요일,05,09:25:00,2020,
2847,0.33,07,05,20:40:00,2020,담뱃불실화,산59,장봉,옹진,북도,인천,07,목요일,05,18:05:00,2020
2848,0.02,07,05,17:30:00,2020,쓰레기소각,산55-1,갈월,포천,신북,경기,07,목요일,05,15:59:00,2020
2849,0.03,06,05,20:00:00,2020,기타,444-26,삼패,남양주,경기,06,수요일,05,18:07:00,2020,
2850,0.06,06,05,13:20:00,2020,기타,산199-1,율이,철원,철원,강원,06,수요일,05,11:33:00,2020
2851,0.01,04,05,19:43:00,2020,기타,517-1,도봉,도봉,서울,04,월요일,05,18:21:00,2020,
2852,1,04,05,16:40:00,2020,기타,산51-1,남회룡,봉화,소천,경북,04,월요일,05,13:10:00,2020
2853,85,02,05,09:00:00,2020,건축물화재비화,산203-18,도원,고성,토성,강원,01,금요일,05,20:10:00,2020
2854,0.01,01,05,18:00:00,2020,입산자실화,산151,노천,홍천,동,강원,01,금요일,05,15:21:00,2020
2855,0.2,01,05,16:30:00,2020,입산자실화,산53,상걸,춘천,동,강원,01,금요일,05,14:30:00,2020
2856,0.01,01,05,15:00:00,2020,기타,252.0,정자,성남,분당,경기,01,금요일,05,13:50:00,2020
2857,0.01,01,05,14:31:00,2020,담뱃불실화,525-4,봉정,공주,충남,01,금요일,05,13:40:00,2020,
2858,4,01,05,20:50:00,2020,쓰레기소각,산30.2,신림,울진,울진,경북,01,금요일,05,12:30:00,2020
